Clade0,Clade1,Clade2,Clade3,Clade4,Clade5,Order,Stem or crown (order level),Family,N_extant,N_fossils,oldest_fossil,youngest_fossil,root_est,root_lower,root_upper,ext_est,ext_lower,ext_upper,q_est,q_lower,q_upper,a_est,a_lower,a_upper,sig2_est,sig2_lower,sig2_upper,Horizons,alpha,strat_range,marsh_origin_lower,marsh_origin_upper,marsh_ext_lower,marsh_ext_upper
Theriiformes,Theria,Metatheria,Marsupialia,Ameridelphia,NA,Paucituberculata,Extinct order,Abderitidae,0,6,19,14,20.5802889,19.00110139,23.80541637,13.14791902,11.52261553,13.9997594,0.571007313,0.000323427,1.570158089,15.94263546,0.001461075,40.64688609,0.440851904,-2.582798459,3.081338248,9,0.58,5,19,21.9,11.1,14
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Rodentia,Crown,Abrocomidae,10,3,18,8,28.17549146,18.0254054,46.90989131,0,0,0,0.00749583,7.56E-06,0.021961244,3.430975903,2.26E-06,9.728731526,3.723830999,1.131530366,5.931037602,9,0.454215433,10,18,22.54215433,0,0
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Rodentia,Crown,Acaremyidae,0,19,24,15,25.44354463,24.00011549,28.04127142,14.38005369,13.41032647,14.99986145,0.354501351,0.001148905,0.961480189,16.91469045,0.002892927,37.95361088,1.875827341,0.93045674,3.135947861,25,0.17,9,24,25.53,13.47,15
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Stem,Achaenodontidae,0,1,44,44,45.68458072,44.00009151,49.41828816,42.6862977,39.7881673,43.99933678,0.930773961,0.00048384,2.920891471,34.52272485,0.005219165,83.97495398,1.642161752,-0.872453297,3.848940739,1,NA,0,44,NA,NA,44
Theriiformes,Theria,Metatheria,Marsupialia,Australidelphia,NA,Diprotodontia,Crown,Acrobatidae,3,2,2,1,3.391340689,2.000391184,5.851960575,0,0,0,0.362752889,0.001318602,0.947486896,28.89787685,0.013154889,78.7391373,2.618558706,-0.217642222,4.959151253,8,0.534127405,1,2,2.534127405,0,0
Theriiformes,Allotheria,NA,NA,NA,Gondwanatheria,NA,Extinct order,Adalatheriidae,0,1,68,68,69.64403953,68.00043614,72.97638121,66.72353511,64.13909544,67.99999712,0.964732293,0.000186197,3.050214879,37.72648274,0.003202409,91.01317126,1.622779204,-0.973825349,3.784626536,1,NA,0,68,NA,NA,68
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Euarchonta,Primates,Crown,Adapidae,0,19,55,14,61.0059492,55.00192395,69.82288293,10.77029128,5.576610698,13.99949165,0.050402306,0.004676086,0.126556518,1.036686094,1.48E-05,3.024481725,1.600955333,-0.631422338,3.715202178,36,0.11,41,55,59.51,9.49,14
Theriiformes,Theria,Eutheria,Placentalia,Afrotheria,Afroinsectiphilia,Macroscelidea,Stem,Adapisoricidae,0,1,57,57,58.59274347,57.00048506,61.72186049,55.79099794,53.32629439,56.99993056,0.995697411,0.000223814,3.028385944,44.53935307,0.009415664,92.22417611,1.656721002,-1.059726224,3.846822921,1,NA,0,57,NA,NA,57
Theriiformes,Theria,Eutheria,NA,NA,NA,NA,Extinct order,Adapisoriculidae,0,21,70,53,72.57530732,70.00030832,77.02389554,51.69286445,49.44684977,52.99946092,0.124290865,0.001856914,0.294849089,5.705707668,0.000155596,14.00574996,2.109922876,0.600263011,3.623691223,14,0.33,17,70,75.61,47.39,53
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Litopterna,Extinct order,Adianthidae,0,14,44,17,50.06139362,44.00645316,60.90427794,13.55606354,8.917117286,15.99698795,0.040511676,0.000107828,0.117178415,4.534958584,0.000104188,10.43443843,1.491611245,-0.904161584,3.534019376,11,0.44,27,44,55.88,5.12,17
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Chiroptera,Stem,Aegyptonycteridae,0,1,36,36,37.4049337,36.00018485,39.86912467,34.90209995,32.89807694,35.99992094,1.005851664,0.000312637,3.041552381,33.16005191,0.006267235,82.90259984,1.565536548,-1.235628444,3.715679879,1,NA,0,36,NA,NA,36
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Aetiocetidae,0,12,34,25,36.80847488,35.00022656,40.63629152,23.04816125,21.25204878,23.99990711,0.136904665,0.00066003,0.362391083,12.87620654,0.001782775,29.25099493,1.810771446,-0.206309765,3.492688587,11,0.44,9,34,37.96,21.04,25
Theriiformes,Theria,Eutheria,Placentalia,Afrotheria,Afroinsectiphilia,Macroscelidea,Stem,Afrohypselodontidae,0,2,40,40,42.42145981,41.00121517,45.63065465,37.92956849,35.76014574,38.99990389,0.328770658,0.00028476,0.938988946,26.50054177,0.000565514,82.60794131,1.796985279,-0.611783614,3.85064543,1,NA,0,40,NA,NA,40
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Euarchonta,Primates,Crown,Afrotarsiidae,0,4,47,30,55.65422035,47.00357719,73.56209903,25.09091617,15.24038617,29.99905174,0.040434388,2.39E-05,0.13211634,3.773529788,0.000502054,10.66951952,0.692513112,-2.675567039,3.43197011,5,1.47,17,47,71.99,5.01,30
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Agorophiidae,0,2,34,24,42.75524944,34.00342524,61.86276483,18.88394589,8.506951417,23.99805407,0.032104171,4.90E-05,0.114913724,6.702249957,0.001289451,19.98338675,0.886696987,-2.314132771,3.616939188,3,4.83,10,34,82.3,0,24
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Rodentia,Crown,Agoutidae,0,8,36,19,42.18589243,37.00504915,52.4184242,15.0131253,9.263734069,17.99957662,0.048785791,0.000387917,0.129832322,3.895579484,6.67E-05,10.32534274,1.698365599,-0.284887133,3.596308504,6,1.06,17,36,54.02,0.98,19
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Agriochoeridae,0,52,47,24,49.5120389,48.00040073,51.89648594,22.81864848,21.0455501,23.99994009,0.303098683,0.08214904,0.57623832,1.166808373,0.000453282,3.3794406,1.940153384,0.663743738,3.304136595,84,0.05,23,47,48.15,22.85,24
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Carnivora,Crown,Ailuridae,2,21,26,3,29.79005417,27.0001791,34.92078492,0,0,0,0.077134501,0.004068258,0.180465681,2.117119479,7.06E-05,5.785485909,2.430625794,0.478021506,4.382446564,18,0.192699882,23,26,30.43209728,0,0
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Rodentia,Stem,Alagomyidae,0,9,59,53,61.27459742,60.00013159,63.87560118,52.01014571,50.26022452,52.99998709,0.304658147,0.0036393,0.70743321,9.823725475,0.000156923,27.44831789,1.794923719,-0.082999767,3.423875611,7,0.83,6,59,63.98,48.02,53
Theriiformes,Allotheria,NA,NA,NA,NA,Multituberculata,Extinct order,Albionbaataridae,0,2,157,145,168.5095716,157.0008804,195.2731205,137.1797013,118.5249122,144.9988183,0.02924533,1.27E-05,0.109284244,5.050661476,0.000796415,15.52474914,0.528824445,-3.111922143,3.328372974,2,28.83,12,157,502.96,0,145
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Albireonidae,0,3,7,3,9.15885106,7.000421139,13.31210004,1.98230981,0.412617723,2.999874832,0.284675734,0.000435661,0.849160749,18.09610494,0.000289549,49.51863373,0.810440299,-2.133746449,3.44113561,3,4.83,4,7,26.32,0,3
